Winery,Country,Province,Mean_Price,Mean_Points,Wines,Variety_Count
Broke Ass,Argentina,Mendoza Province,4.0,84.0,1,1
Pam's Cuties,US,California,4.0,83.0,1,1
Toca Diamonte,Argentina,Mendoza Province,4.5,82.5,2,1
Terrenal,Spain,Levante,4.5,83.5,4,2
Terrale,Italy,Sicily & Sardinia,5.0,82.0,1,1
Mancan,US,California,5.0,85.33333333333333,3,3
Zamarro,Argentina,Mendoza Province,5.0,84.0,1,1
Belle Made For You,France,France Other,5.0,83.33333333333333,3,3
Terrenal,Chile,Curicó Valley,5.0,83.0,1,1
Terrale,Italy,Southern Italy,5.0,83.0,1,1
Landshut,Germany,Mosel,5.0,85.0,2,1
Kelly's Revenge,Australia,Australia Other,5.0,82.0,3,3
Landshut,Germany,Mosel-Saar-Ruwer,5.0,82.0,1,1
Falling Star,Argentina,Other,5.0,83.25,4,4
Walnut Crest,Chile,Central Valley,5.0,84.0,1,1
House Band,US,California,5.0,83.0,2,2
Chaza,South Africa,Western Cape,5.0,83.0,1,1
Earth's Harvest,US,California,5.0,85.5,2,2
Lagosta,Portugal,Vinho Verde,5.0,82.66666666666667,3,2
Doña Sol,US,California,5.0,84.0,1,1
Redbud,US,California,5.0,81.0,1,1
Viña Decana,Spain,Levante,5.0,83.0,2,1
Terrenal,Argentina,Mendoza Province,5.0,80.0,1,1
Adega Cooperativa da Batalha,Portugal,Portuguese Table Wine,5.0,84.0,1,1
Belmondo,Italy,Lombardy,5.5,82.0,2,1
La Francesca,Italy,Veneto,5.5,83.5,2,1
Fusée,US,California,5.666666666666667,85.33333333333333,3,3
Bandit,US,California,5.666666666666667,84.16666666666667,6,3
Casaleiro,Portugal,Ribatejo,6.0,85.0,2,2
Azienda Vinicola Fratelli Fabiano,Italy,Southern Italy,6.0,85.0,1,1
Vignobles de France,France,Languedoc-Roussillon,6.0,81.0,2,2
Tate Creek,US,California,6.0,84.0,1,1
Two Vines,US,Washington,6.0,85.0,5,4
Domaines Grassa,France,Southwest France,6.0,84.0,1,1
4R4U,Spain,Northern Spain,6.0,87.0,1,1
Ezio,Argentina,Other,6.0,85.0,1,1
Côtnar Hills,Ukraine,Ukraine,6.0,84.0,3,3
King Fish,US,California,6.0,83.0,1,1
Berco Do Infante,Portugal,Estremadura,6.0,85.0,1,1
Bel Arbor,US,California,6.0,84.0,2,2
Hickory Ridge,Morocco,Beni M'Tir,6.0,82.0,1,1
Calama,Chile,Central Valley,6.0,83.0,1,1
Calama,Chile,Curicó Valley,6.0,82.0,1,1
Santero,Italy,Southern Italy,6.0,84.0,1,1
Herdade do Esporão,Portugal,Portugal,6.0,83.0,1,1
Tawert S.A.,Argentina,Mendoza Province,6.0,81.66666666666667,3,3
Landshut,Germany,Rheinhessen,6.0,88.0,1,1
Iranzo Fields,Spain,Levante,6.0,85.0,1,1
Ironwood,Australia,Australia Other,6.0,84.0,1,1
Zonin,Italy,Central Italy,6.0,81.0,1,1
Johannes Kunz,Germany,Mosel,6.0,87.0,1,1
Viña Mayte,Spain,Central Spain,6.0,83.0,1,1
Viña do Val,Spain,Spain Other,6.0,81.0,1,1
Manta,Chile,Central Valley,6.0,86.0,1,1
Walnut Crest,Chile,Casablanca Valley,6.0,86.0,1,1
Gonfalone,Italy,Tuscany,6.0,82.0,1,1
St. George Coastal,US,California,6.0,83.0,1,1
Viña Borgia,Spain,Northern Spain,6.0,85.0,1,1
Dalfiume,Italy,Central Italy,6.0,87.0,1,1
El Copero,Spain,Levante,6.0,83.0,1,1
Bocce,US,California,6.0,84.0,1,1
Paso del Sol,Chile,Central Valley,6.0,82.0,3,3
Kanga Reserve,Australia,Australia Other,6.0,84.0,1,1
Soldo,Italy,Veneto,6.0,83.0,1,1
Le Pépin,France,France Other,6.2,84.8,5,5
Banrock Station,Australia,Australia Other,6.214285714285714,84.42857142857143,14,6
Makulu,South Africa,Western Cape,6.25,84.25,4,4
Sutter Home,US,California,6.25,82.75,4,4
Cooperativa Reguengos de Monsaraz,Portugal,Alentejano,6.5,84.5,2,1
Campos Reales,Spain,Central Spain,6.5,84.25,4,2
Funky Llama,Argentina,Mendoza Province,6.5,82.5952380952381,42,9
Dão Sul,Portugal,Estremadura,6.6,86.0,5,2
Crane Lake,US,California,6.666666666666667,83.66666666666667,3,3
Quinta da Aveleda,Portugal,Vinho Verde,6.666666666666667,84.0,3,3
Eye Candy,US,California,6.666666666666667,82.33333333333333,3,3
Cantine Riunite,Italy,Central Italy,6.75,82.25,4,1
René Barbier,Spain,Catalonia,6.9,83.5,10,5
J. Garcia Carrion,Spain,Central Spain,6.916666666666667,83.66666666666667,12,8
Quinta Monteiro de Matos,Portugal,Tejo,7.0,83.0,1,1
Val Duná,Romania,Plaiurile Drancei,7.0,84.0,1,1
Zarpado,Argentina,Mendoza Province,7.0,85.5,2,1
Trevisana,Italy,Veneto,7.0,85.0,2,1
La Riojana Coop,Argentina,Other,7.0,82.0,1,1
Mar de León,Spain,Northern Spain,7.0,81.0,1,1
Fleur de Nuit,Spain,Catalonia,7.0,85.0,1,1
Domaine de L'Olivier,France,Languedoc-Roussillon,7.0,82.0,1,1
Cavas del Conde,Argentina,Mendoza Province,7.0,81.0,1,1
J.P. Vinhos,Portugal,Terras do Sado,7.0,83.0,1,1
Pampano,Argentina,Other,7.0,83.0,1,1
Caviro,Italy,Central Italy,7.0,82.0,1,1
Caves da Montanha,Portugal,Vinho Verde,7.0,88.0,1,1
Red Fox,Portugal,Alentejo,7.0,83.0,1,1
Real del Pedro,Argentina,Mendoza Province,7.0,84.0,1,1
Château de Monrecueil,France,Bordeaux,7.0,85.0,4,1
Finca Milena,Spain,Levante,7.0,83.0,1,1
Gotan,Argentina,Mendoza Province,7.0,85.0,1,1
Quinta de Cabriz,Portugal,Dão,7.0,89.0,1,1
CalNaturale,US,California,7.0,85.0,1,1
Yelcho,Chile,Rapel Valley,7.0,81.0,1,1
Kirkland Signature,Spain,Northern Spain,7.0,88.0,1,1
Serenissima,Italy,Veneto,7.0,85.0,1,1
Finca del Valle,Argentina,Mendoza Province,7.0,82.0,1,1
Global Wines,Portugal,Vinho Verde,7.0,85.0,1,1
Painter Bridge,US,California,7.0,82.5,2,2
Cà del Doge,Italy,Veneto,7.0,84.0,1,1
Kirkland Signature,Italy,Northeastern Italy,7.0,84.0,2,1
Finisterra,Portugal,Alentejano,7.0,84.0,4,2
VinArte,Italy,Tuscany,7.0,84.0,1,1
