,Winery,Points_Mean,Price_Mean,Points_Median,Price_Median,Total_Reviews,N_Varieties,Varieties,Country,Province,Region
0,'37 Cellars,88.0,,88.0,,1,1,['Cabernet Sauvignon'],US,Washington,"['Columbia Valley (WA)', 'Columbia Valley']"
1,1+1=3,85.5,16.3,86.0,16.0,10,3,"['Rosé', 'Cabernet Sauvignon', 'Sparkling Blend']",Spain,Catalonia,['Penedès']
2,10 Knots,84.4,23.3,84.0,22.0,11,7,"['Grenache', 'Rhône-style White Blend', 'Chardonnay', 'White Blend', 'Rosé', 'Viognier', 'Rhône-style Red Blend']",US,California,"['Paso Robles', 'Central Coast']"
3,100 Percent Wine,86.3,18.0,86.0,18.0,3,3,"['Moscato', 'Sauvignon Blanc', 'Red Blend']",US,California,"['California', 'California Other']"
4,1000 Stories,90.5,19.0,90.5,19.0,2,1,['Zinfandel'],US,California,"['California', 'California Other']"
5,1040FU,82.0,25.0,82.0,25.0,1,1,['Syrah'],US,California,"['Santa Barbara County', 'Central Coast']"
6,1070 Green,88.0,25.0,88.0,25.0,1,1,['Sauvignon Blanc'],US,California,"['Rutherford', 'Napa']"
7,10Span,83.4,12.6,83.0,13.0,5,3,"['Pinot Noir', 'Pinot Gris', 'Chardonnay']",US,California,"['Santa Barbara County', 'Central Coast']"
8,12 Linajes,89.0,26.7,89.0,25.0,11,2,"['Tempranillo', 'Verdejo']",Spain,Northern Spain,['Ribera del Duero']
9,12C Wines,92.6,92.6,93.0,95.0,5,1,['Cabernet Sauvignon'],US,California,"['Rutherford', 'Napa']"
10,13 Celsius,87.0,15.0,87.0,15.0,1,1,['Sauvignon Blanc'],New Zealand,Marlborough,[]
11,14 Hands,87.5,18.3,87.0,12.0,71,20,"['Chardonnay', 'Sauvignon Blanc', 'Sparkling Blend', 'Pinot Gris', 'Red Blend', 'Malbec', 'Syrah', 'Cabernet Sauvignon', 'Merlot', 'White Blend', 'Riesling', 'Moscato', 'Rhône-style Red Blend', 'Viognier', 'Rosé', 'Gewürztraminer', 'Cabernet Franc', 'Grenache', 'Cabernet Franc-Merlot', 'Bordeaux-style Red Blend']",US,Washington,"['Horse Heaven Hills', 'Columbia Valley']"
12,16X20,85.5,40.0,85.5,40.0,2,2,"['Cabernet Sauvignon', 'Chardonnay']",US,California,"['Napa Valley', 'Napa']"
13,1752 Signature Wines,88.0,20.0,88.0,20.0,1,1,['Rosé'],France,Provence,['Côtes de Provence']
14,1789 Wines,91.0,48.0,91.0,48.0,1,1,['Pinot Noir'],US,Oregon,"['Chehalem Mountains', 'Willamette Valley']"
15,181,84.0,15.0,84.0,15.0,1,1,['Merlot'],US,California,"['Lodi', 'Central Valley']"
16,18401 Cellars,92.0,75.0,92.0,75.0,2,2,"['Cabernet Sauvignon', 'Bordeaux-style Red Blend']",US,Oregon,"['Walla Walla Valley (OR)', 'Oregon Other']"
17,18401 Cellars,91.5,75.0,91.5,75.0,2,2,"['Bordeaux-style Red Blend', 'Cabernet Sauvignon']",US,Washington,"['Walla Walla Valley (WA)', 'Columbia Valley']"
18,1848 Winery,89.7,48.3,89.0,45.0,3,2,"['Red Blend', 'Cabernet Merlot']",Israel,Galilee,[]
19,1848 Winery,89.3,25.0,89.0,25.0,3,3,"['Cabernet Sauvignon-Merlot', 'Cabernet Sauvignon', 'Chardonnay']",Israel,Judean Hills,[]
20,1850,89.8,25.0,91.0,26.0,4,4,"['Zinfandel', 'Rosé', 'Viognier', 'Sangiovese']",US,California,"['Amador County', 'Sierra Foothills']"
21,19 Crimes,83.0,14.0,83.0,14.0,1,1,['Red Blend'],Australia,Australia Other,['South Eastern Australia']
22,1912 Winemakers,90.1,,90.0,,7,2,"['Portuguese White', 'Portuguese Red']",Portugal,Douro,[]
23,1919,83.0,10.0,83.0,10.0,3,3,"['Cabernet Sauvignon', 'Syrah', 'Malbec']",Argentina,Mendoza Province,['Mendoza']
24,2 Brothers,82.0,9.0,82.0,9.0,1,1,['Syrah'],Chile,Colchagua Valley,[]
25,2 Brothers,82.0,12.0,82.0,12.0,1,1,['Riesling'],Germany,Mosel-Saar-Ruwer,[]
26,2 Brothers,84.0,9.0,84.0,9.0,1,1,['White Blend'],Germany,Nahe,[]
27,2 Cocky Sisters,85.5,10.5,85.5,10.5,2,1,['Red Blend'],US,California,"['Paso Robles', 'Central Coast']"
28,2 Copas,81.0,8.0,81.0,8.0,1,1,['Red Blend'],Argentina,Mendoza Province,['Mendoza']
29,2 Lads,86.4,41.2,87.0,36.5,5,4,"['Cabernet Franc-Merlot', 'Pinot Noir', 'Pinot Grigio', 'Cabernet Franc']",US,Michigan,['Old Mission Peninsula']
30,2 Up,86.2,14.5,87.0,14.5,4,1,['Shiraz'],Australia,South Australia,['South Australia']
31,21 Grams,92.5,125.0,92.5,125.0,2,1,['Bordeaux-style Red Blend'],US,Washington,"['Washington', 'Washington Other']"
32,24 Knots,82.0,17.0,82.0,17.0,1,1,['Pinot Noir'],US,California,"['California', 'California Other']"
33,240 Days,86.5,28.0,86.5,28.0,2,2,"['Riesling', 'Rosé']",US,New York,"['Finger Lakes', 'Finger Lakes']"
34,25 Lagunas,81.0,10.0,81.0,10.0,1,1,['Cabernet Sauvignon'],Argentina,Other,['San Juan']
35,2820 Wine Co.,84.3,27.3,85.0,22.0,3,3,"['Zinfandel', 'Bordeaux-style Red Blend', 'Merlot']",US,California,"['Napa Valley', 'Napa']"
36,29 & Oak Wines,88.8,57.0,90.0,45.0,5,4,"['Cabernet Sauvignon', 'Red Blend', 'Zinfandel', 'Bordeaux-style Red Blend']",US,California,"['Napa Valley', 'Napa']"
37,2Hawk,87.7,31.8,87.5,30.0,6,5,"['Viognier', 'Cabernet Franc', 'Tempranillo', 'Pinot Noir', 'Bordeaux-style Red Blend']",US,Oregon,"['Rogue Valley', 'Southern Oregon']"
38,2Plank,88.3,37.2,89.5,38.0,6,5,"['Viognier-Chardonnay', 'Zinfandel', 'Grenache-Syrah', 'Viognier', 'Cabernet Sauvignon']",US,California,"['California', 'California Other']"
39,2nd Chance,87.5,32.0,88.5,30.5,4,2,"['Syrah', 'Pinot Noir']",US,California,"['Santa Maria Valley', 'Central Coast']"
40,3 Badge Beverage,84.0,30.0,84.0,30.0,1,1,['Chardonnay'],US,California,"['Russian River Valley', 'Sonoma']"
41,3 Ball,88.0,15.0,88.0,15.0,1,1,['Zinfandel'],US,California,"['California', 'California Other']"
42,3 Hills High,87.3,19.3,87.0,20.0,3,3,"['Riesling', 'Sauvignon Blanc', 'Red Blend']",Australia,South Australia,['South Australia']
43,3 Horse Ranch Vineyards,87.0,26.5,87.0,26.5,2,2,"['Bordeaux-style Red Blend', 'White Blend']",US,America,[]
44,3 Horse Ranch Vineyards,86.1,20.8,87.0,19.0,26,12,"['Cabernet Sauvignon', 'Syrah', 'Cabernet Sauvignon-Merlot', 'Merlot', 'Chardonnay', 'Bordeaux-style Red Blend', 'White Blend', 'Pinot Gris', 'Rosé', 'Syrah-Mourvèdre', 'Red Blend', 'Sangiovese']",US,Idaho,[]
45,3 Horse Ranch Vineyards,87.5,23.2,87.5,23.0,4,4,"['Bordeaux-style Red Blend', 'Cabernet Sauvignon', 'Merlot-Cabernet Franc', 'Merlot']",US,Washington,"['Washington', 'Washington Other']"
